0.	tok	 :) pahaha ganz heiss emojiQfaceWithTearsOfJoy haha oke ;) hahaha hesch eigentlich insta 
	msg_id	 237186[1-1] 237187[2-5] 237188[6-8] 237189[9-9] 237190[10-13] 
	spk	 spk564[1-1] spk565[2-5] spk565[6-8] spk564[9-9] spk564[10-13] 


1.	tok	 insta ? ja voll : [UserName] okk mercii :) emojiQwinkingFace bisch auu 
	msg_id	 237190[1-2] 237191[3-6] 237192[7-9] 237193[10-10] 237194[11-20] 
	spk	 spk564[1-2] spk565[3-6] spk564[7-9] spk565[10-10] spk564[11-20] 


2.	tok	 lehrer latschprüefig verlore het emojiQfaceWithTearsOfJoy hahah oke ;) du chasch glaubs am 
	msg_id	 237216[1-5] 237217[6-8] 237218[9-24] 
	spk	 spk564[1-5] spk565[6-8] spk564[9-24] 


3.	tok	 hani früeh golf emojiQgrinningFaceWithSmilingEyes egaal ah okk haha du au es hobby 
	msg_id	 237278[1-4] 237279[5-5] 237280[6-8] 237281[9-13] 
	spk	 spk564[1-4] spk564[5-5] spk565[6-8] spk564[9-13] 


4.	tok	 de wuche go jogge und so okee :) haha toll no 3 
	msg_id	 237284[1-6] 237285[7-8] 237286[9-14] 
	spk	 spk565[1-6] spk564[7-8] spk564[9-14] 


5.	tok	 schlaafe :/ schlaaf schön ;)) haha oke guetnacht ;) heeii :) heyy 
	msg_id	 237333[1-5] 237334[6-9] 237335[10-11] 237336[12-13] 
	spk	 spk564[1-5] spk565[6-9] spk564[10-11] spk565[12-13] 


6.	tok	 no nett us .. ;) haha okee :) ich verzehl lieber nix 
	msg_id	 237341[1-5] 237342[6-15] 
	spk	 spk565[1-5] spk564[6-15] 


7.	tok	 eppis ztue ha mit ihm hahahhaha oke emojiQwinkingFace emojiQgrinningFaceWithSmilingEyes haha wms ? 
	msg_id	 237344[1-5] 237345[6-9] 237346[10-10] 237347[11-13] 
	spk	 spk564[1-5] spk565[6-9] spk564[10-10] spk564[11-13] 


8.	tok	 andersch ane :)) :) hahah ah okk ;)) haha hesch de sylvestre 
	msg_id	 237454[1-3] 237455[4-4] 237456[5-8] 237457[9-17] 
	spk	 spk564[1-3] spk564[4-4] spk565[5-8] spk564[9-17] 


9.	tok	 ahluege bin im zug mediaQremoved haha okee :)) mediaQremoved haha erkennsch waser 
	msg_id	 237470[1-4] 237471[5-5] 237472[6-8] 237473[9-9] 237474[10-15] 
	spk	 spk565[1-4] spk564[5-5] spk564[6-8] spk564[9-9] spk564[10-15] 


10.	tok	 vosonere partey abghaue ^^ :)) hahah okee heii :)) helloo ;) wms 
	msg_id	 237497[1-5] 237498[6-7] 237499[8-9] 237500[10-11] 237501[12-14] 
	spk	 spk564[1-5] spk565[6-7] spk564[8-9] spk565[10-11] spk564[12-14] 


11.	tok	 test emojiQgrimacingFace haha neii emojiQgrinningFaceWithSmilingEyes haha okk :) haha ow wer hend 
	msg_id	 237506[1-2] 237507[3-5] 237508[6-7] 237509[8-8] 237510[9-18] 
	spk	 spk564[1-2] spk565[3-5] spk564[6-7] spk564[8-8] spk565[9-18] 


12.	tok	 raab ? :) ja voll :) okee :)) haha sini zunge isch 
	msg_id	 237559[1-3] 237560[4-6] 237561[7-8] 237562[9-23] 
	spk	 spk564[1-3] spk565[4-6] spk564[7-8] spk564[9-23] 


13.	tok	 esse :/ bis nachher :) haha okee en guete was issisch denn 
	msg_id	 237587[1-5] 237588[6-16] 
	spk	 spk565[1-5] spk564[6-16] 


14.	tok	 gsi ? :) haha jaja :) okee :) Wm jetzt ? :)) 
	msg_id	 237595[1-3] 237596[4-6] 237597[7-8] 237598[9-12] 
	spk	 spk564[1-3] spk565[4-6] spk564[7-8] spk564[9-12] 


