0.	tok	 wieder ? :) haha nei ;) okay :) jetzt isch huere scheisse 
	msg	 luegsch wieder?:)[1-3] haha nei ;)[4-6] okay :)[7-8] jetzt isch huere scheisse:/[9-13] 


1.	tok	 muschen au go luege :D hahaha okay :) :) haha hesch euses 
	msg	 hahahaha muschen au go luege :D[1-5] hahaha okay :)[6-8] :)[9-9] haha hesch euses zimmer gseh? :)  emojiQseeNoEvilMonkey[10-17] 


2.	tok	 mennoo :( segs dir wenni chan okay ? :( jaa ok ;) 
	msg	 haha ehmmm sorryy ich grad voll chlii schwierig mennoo :( segs dir wenni chan okay? :([1-9] jaa ok ;)[10-12] 


3.	tok	 das luegt mini sis au haha okay :) mediaQremoved hahaha emojiQfaceWithTearsOfJoy haha 
	msg	 haha das luegt mini sis au[1-5] haha okay :)[6-8] mediaQremoved[9-9] hahaha  emojiQfaceWithTearsOfJoy[10-11] haha du bisch soo fiees[12-16] 


4.	tok	 isch mega lustig hahaha jaaok wart okay emojiQokHandSign Isch ja geil *_* 
	msg	 haha du musch dir quizduelle abelade isch mega lustig[1-3] hahaha jaaok wart[4-6] okay emojiQokHandSign[7-8] Isch ja geil *_* wie heissisch?9[9-16] 


5.	tok	 heissisch ? 9 haha [UserName] haha okay mediaQremoved Hett er ned schöni 
	msg	 Isch ja geil *_* wie heissisch?9[1-3] haha [UserName][4-5] haha okay[6-7] mediaQremoved[8-8] Hett er ned schöni zäh :D[9-14] 


6.	tok	 boxe und spielt basketball :0 wow okay hahaha jaa gell raawrr emojiQtigerFace 
	msg	 De eint isch arzt sportlerere spilt tennis fuessball isch am boxe und spielt basketball:0[1-5] wow okay[6-7] hahaha jaa gell raawrr emojiQtigerFace[8-12] 


7.	tok	 ? ^^ kuuhll haha haha jap okay :) wiesch wie geil wennd 
	msg	 echt?^^ kuuhll haha[1-4] haha jap[5-6] okay :)[7-8] wiesch wie geil wennd spaniscj voll geil chasch O.o[9-18] 


8.	tok	 ? :) haha nur so haha okay ^^ du ? haha ich 
	msg	 wieso? :)[1-2] haha nur so[3-5] haha okay ^^[6-8] du?[9-10] haha ich hett au gfregt was los isch[11-18] 


9.	tok	 nid :/ luege mer 2 min okay :) haha dafuq ? haha 
	msg	 ich glaub nid :/[1-2] luege mer 2min[3-6] okay :)[7-8] haha[9-9] dafuq? haha[10-12] 


10.	tok	 , 2 a mediaQremoved 13 worde okay perf emojiQpersonRaisingBothHandsInCelebration wart churz hahahhaa 
	msg	 hahhahahah ulrica [LastName], 2a[1-3] mediaQremoved[4-4] 13 worde[5-6] okay perf emojiQpersonRaisingBothHandsInCelebration  wart churz[7-11] hahahhaa ok emojiQfaceWithTearsOfJoy[12-14] 


11.	tok	 denn wirder mega root emojiQfaceWithTearsOfJoy haha okay emojiQokHandSign emojiQpersonRaisingBothHandsInCelebration hahaahahaha emojiQfaceWithTearsOfJoy nachher 
